RECORD,Radiacao_Avg,Radiacao_Std
0,480.4,1.704
1,444.8,122.6
2,104,10.11
3,264.9,200.1
4,504.9,1.754
5,167.7,143.7
6,476.9,133.1
7,159.4,130.3
8,473.8,141.4
9,124.6,75.49
10,547.9,54.58
11,155.3,129
12,451.8,188.4
13,272.3,201.5
14,136,22.28
15,54.11,26.46
16,305.3,212.5
17,33.48,14.47
18,40.31,16.64
19,94.6,138.5
20,377.9,202.5
21,42.53,3.41
22,42.7,1.518
23,49.88,54.44
24,521.2,2.779
25,524.5,1.245
26,164.3,195.4
27,55.34,561
28,470.7,162.7
29,536.6,998
30,360.1,235.3
31,55.39,768
32,434.7,205.4
33,548.7,1.576
34,94.9,131.1
35,58.33,2.406
36,57.55,1.446
37,150.2,177.6
38,321.7,261.5
39,132.7,3.021
40,134.4,506
41,135.2,1
42,136,574
43,136.5,1
44,137,587
45,137.9,225
46,138.9,369
47,139.3,309
48,140.5,1
49,140.8,549
50,141.8,1
51,142.1,372
52,143.1,85
53,143.9,0.59
54,144.4,0
55,145.2,594
56,145.9,225
57,147,247
58,147.2,0.3
59,148.4,199
60,148.9,514
61,149.7,0
62,150.8,0.52
63,151.1,119
64,152.3,266
65,152.7,493
66,153.6,288
67,153.7,1
68,154.9,338
69,155.7,547
70,156.4,1
71,156.6,312
72,157.4,0.37
73,158.2,561
74,159,2
75,159.5,399
76,160.4,1
77,161.5,457
78,161.7,2
79,162.2,0.51
80,163,1
81,163.1,199
82,164.2,273
83,164.4,247
84,159.9,15.79
85,149,6.112
91,757,1.029
92,758.6,1.506
93,761.4,923
94,734,131.1
95,141.4,15.01
96,217,193.5
97,743,761
98,667.4,196.3
99,153.3,6.803
100,226.2,162.3
101,751.5,983
102,358.3,269.3
103,241.8,191.8
104,760.7,878
105,762.8,1.213
106,232.5,170.3
107,222.9,178.5
108,771.9,885
109,665.6,229.7
110,185.4,3.957
111,184.2,7.253
112,173.3,8.62
113,145.3,40.37
114,704.4,164.7
115,745.3,1.237
116,748.3,945
117,208.8,257.1
118,149.7,185.9
119,759.1,1.328
120,289.3,300.7
121,101,6.583
122,502,328.2
123,770.3,731
124,385.6,337.7
125,102.7,7.935
126,102.2,933
127,371.8,354
128,830,1.251
129,174.1,227.6
130,99.4,2.771
131,836,20.56
132,836,0.96
133,247.2,297.7
134,95.8,3.892
135,248.7,482.9
142,829,1.214
143,832,1.565
144,836,1.251
145,838,816
146,268.3,191.1
147,208.3,4.067
148,730.7,247
149,850,884
150,263.2,177.5
151,209,1.096
152,773.2,204.6
153,849,1.091
154,298.2,223.9
155,209.5,1.55
156,780.2,203.2
157,858,811
158,494.4,322.3
159,216.2,1.124
160,651,286.7
