CURITIBA (A807);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
22/04/2021;0100;14,1;14,1;13,6;;;;;;;915,6;915,6;915,5;1,5;117,0;4,6;;0,0;
22/04/2021;0200;13,8;14,2;13,8;;;;;;;915,4;915,6;915,3;0,7;131,0;4,6;;0,0;
22/04/2021;0300;13,7;13,8;13,5;;;;;;;915,1;915,4;915,1;0,2;97,0;2,2;;0,0;
22/04/2021;0400;13,8;13,8;13,7;;;;;;;914,9;915,1;914,9;0,2;132,0;2,1;;0,0;
22/04/2021;0500;13,8;14,1;13,8;;;;;;;914,4;914,9;914,4;1,1;119,0;3,7;;0,0;
22/04/2021;0600;13,8;13,9;13,7;;;;;;;914,1;914,4;914,1;1,4;98,0;3,7;;0,0;
22/04/2021;0700;13,5;13,8;13,5;;;;;;;914,4;914,4;914,1;1,2;114,0;5,2;;0,2;
22/04/2021;0800;13,2;13,5;13,2;;;;;;;915,0;915,0;914,4;1,6;111,0;5,0;;0,0;
22/04/2021;0900;13,2;13,2;12,8;;;;;;;915,5;915,5;915,0;0,4;129,0;4,0;49,27;0,0;
22/04/2021;1000;15,2;15,2;13,1;83,0;;;12,3;;;915,9;915,9;915,5;2,3;115,0;5,6;547,77;0,0;
22/04/2021;1100;16,4;17,0;15,1;71,0;83,0;70,0;11,2;12,2;10,9;915,8;915,9;915,6;3,5;104,0;6,1;1482,20;0,0;
22/04/2021;1200;18,1;18,9;16,4;63,0;71,0;61,0;11,0;12,2;10,6;916,0;916,0;915,8;1,9;125,0;6,5;2001,58;0,0;
22/04/2021;1300;20,0;20,0;17,3;60,0;66,0;60,0;12,0;12,0;10,4;915,7;916,2;915,7;2,3;89,0;6,3;1669,72;0,0;
22/04/2021;1400;18,5;20,5;18,5;61,0;61,0;54,0;10,9;11,9;9,7;915,1;915,7;915,1;2,1;122,0;6,9;1896,29;0,0;
22/04/2021;1500;19,1;19,9;18,5;62,0;63,0;56,0;11,6;12,0;10,3;914,6;915,1;914,6;1,7;123,0;5,8;1648,59;0,0;
22/04/2021;1600;19,7;21,0;18,4;53,0;63,0;51,0;10,0;11,5;9,9;913,7;914,6;913,7;2,3;85,0;6,7;2054,07;0,0;
22/04/2021;1700;18,8;20,9;18,5;62,0;63,0;54,0;11,5;12,8;10,0;913,6;913,7;913,6;2,0;112,0;6,7;1279,62;0,0;
22/04/2021;1800;18,4;18,9;18,2;64,0;65,0;61,0;11,4;11,9;11,0;913,5;913,7;913,5;2,0;86,0;5,6;615,53;0,0;
22/04/2021;1900;17,3;18,4;17,3;70,0;70,0;63,0;11,7;11,7;10,9;913,5;913,6;913,4;2,4;115,0;5,8;263,26;0,0;
22/04/2021;2000;15,8;17,3;15,8;79,0;79,0;70,0;12,1;12,1;11,4;914,0;914,0;913,5;2,4;88,0;5,8;44,55;0,0;
22/04/2021;2100;14,5;15,8;14,5;81,0;82,0;79,0;11,3;12,1;11,3;914,2;914,2;914,0;1,4;104,0;4,9;;0,0;
22/04/2021;2200;13,9;14,5;13,9;84,0;84,0;81,0;11,3;11,3;11,1;914,8;914,8;914,2;1,5;99,0;3,9;;0,0;
22/04/2021;2300;13,6;14,1;13,6;90,0;90,0;84,0;12,1;12,1;11,3;914,8;915,0;914,8;1,7;95,0;4,6;;0,0;
