FLORIANOPOLIS (A806);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2021;0100;23,6;24,0;23,5;77,0;79,0;76,0;19,4;20,0;19,1;1013,1;1013,2;1012,4;2,3;177,0;7,6;;0,6;
01/01/2021;0200;23,4;23,8;23,2;80,0;80,0;75,0;19,6;19,6;18,9;1013,3;1013,6;1013,1;3,5;160,0;8,4;;0,0;
01/01/2021;0300;23,5;23,5;23,2;76,0;80,0;76,0;18,9;19,7;18,9;1013,4;1013,6;1013,1;3,6;157,0;8,4;;0,0;
01/01/2021;0400;23,5;23,7;23,4;73,0;76,0;72,0;18,4;18,9;18,0;1012,8;1013,4;1012,8;2,9;172,0;8,6;;0,0;
01/01/2021;0500;23,5;23,6;23,4;71,0;74,0;71,0;17,8;18,7;17,8;1013,0;1013,1;1012,7;2,8;169,0;9,1;;0,0;
01/01/2021;0600;23,5;23,6;23,4;69,0;72,0;67,0;17,4;18,1;17,0;1012,5;1013,1;1012,3;2,3;183,0;8,1;;0,0;
01/01/2021;0700;23,1;23,8;23,1;73,0;75,0;67,0;18,0;18,7;17,2;1012,6;1012,6;1012,4;3,4;148,0;6,5;;0,0;
01/01/2021;0800;23,0;23,5;22,8;76,0;77,0;72,0;18,5;18,7;17,8;1013,2;1013,2;1012,6;3,6;149,0;6,8;;0,0;
01/01/2021;0900;22,8;23,1;22,5;77,0;79,0;76,0;18,5;19,0;18,2;1013,8;1013,8;1013,2;3,4;160,0;9,0;19,49;0,0;
01/01/2021;1000;22,9;23,0;22,5;70,0;77,0;69,0;17,1;18,6;16,8;1014,5;1014,5;1013,8;2,7;173,0;8,0;59,16;0,0;
01/01/2021;1100;23,1;23,3;22,8;67,0;71,0;67,0;16,7;17,5;16,7;1015,0;1015,0;1014,5;3,3;174,0;8,2;206,75;0,0;
01/01/2021;1200;23,5;23,6;23,1;65,0;70,0;65,0;16,6;17,3;16,5;1015,7;1015,7;1015,0;3,1;183,0;7,7;450,08;0,0;
01/01/2021;1300;23,7;24,2;23,5;63,0;67,0;62,0;16,3;17,2;16,0;1015,7;1015,8;1015,5;3,1;163,0;7,8;994,14;0,0;
01/01/2021;1400;23,4;23,7;23,3;65,0;67,0;63,0;16,6;17,0;16,2;1016,1;1016,1;1015,7;3,4;154,0;7,8;656,86;0,0;
01/01/2021;1500;23,4;23,5;23,1;65,0;68,0;64,0;16,4;17,1;16,2;1016,6;1016,6;1016,1;3,3;162,0;7,4;720,00;0,0;
01/01/2021;1600;24,4;24,4;23,4;63,0;66,0;61,0;16,8;17,0;15,7;1016,6;1016,8;1016,6;2,5;169,0;6,5;1019,92;0,0;
01/01/2021;1700;24,5;24,8;23,9;60,0;63,0;58,0;16,3;16,9;15,5;1016,1;1016,6;1016,1;2,5;156,0;6,0;1877,54;0,0;
01/01/2021;1800;24,6;24,6;23,8;63,0;65,0;60,0;17,1;17,1;16,2;1015,7;1016,1;1015,7;3,0;150,0;5,5;1177,70;0,0;
01/01/2021;1900;23,9;24,6;23,8;60,0;64,0;60,0;15,7;16,9;15,7;1015,5;1015,7;1015,4;2,9;149,0;6,4;925,63;0,0;
01/01/2021;2000;23,8;24,0;23,7;65,0;65,0;59,0;17,0;17,0;15,5;1015,3;1015,5;1015,2;3,0;149,0;6,2;585,15;0,0;
01/01/2021;2100;23,4;23,9;23,4;66,0;67,0;65,0;16,7;17,1;16,4;1015,5;1015,5;1015,1;3,3;149,0;6,7;306,59;0,0;
01/01/2021;2200;23,3;23,4;23,3;67,0;67,0;64,0;16,8;16,8;16,0;1015,9;1016,0;1015,5;3,1;159,0;6,6;91,38;0,0;
01/01/2021;2300;23,2;23,3;23,1;67,0;67,0;65,0;16,7;16,8;16,2;1016,3;1016,3;1015,9;2,7;151,0;6,6;1,61;0,0;
02/01/2021;0000;23,1;23,2;22,9;69,0;70,0;67,0;17,1;17,3;16,6;1017,0;1017,0;1016,3;2,4;154,0;5,6;;0,0;
02/01/2021;0100;23,1;23,2;22,9;62,0;69,0;62,0;15,4;17,0;15,4;1017,4;1017,4;1017,0;2,0;182,0;6,1;;0,0;
02/01/2021;0200;22,6;23,1;22,6;67,0;67,0;62,0;16,0;16,1;15,2;1017,4;1017,5;1017,3;1,4;189,0;4,7;;0,0;
02/01/2021;0300;21,8;22,6;21,8;67,0;68,0;67,0;15,4;16,3;15,3;1016,9;1017,4;1016,9;0,8;240,0;3,4;;0,0;
02/01/2021;0400;20,6;21,8;20,6;78,0;78,0;67,0;16,7;16,8;15,4;1016,2;1016,9;1016,2;0,5;282,0;2,4;;0,0;
02/01/2021;0500;19,9;20,6;19,8;81,0;81,0;78,0;16,5;17,0;16,5;1015,2;1016,2;1015,2;1,1;301,0;2,4;;0,0;
02/01/2021;0600;19,3;19,9;19,3;82,0;82,0;81,0;16,2;16,5;16,2;1015,0;1015,2;1014,9;1,0;298,0;3,2;;0,0;
02/01/2021;0700;19,1;19,4;19,1;82,0;82,0;81,0;16,0;16,3;15,9;1015,3;1015,3;1015,0;0,0;130,0;3,8;;0,0;
02/01/2021;0800;18,6;19,3;18,6;83,0;83,0;81,0;15,7;16,1;15,6;1015,5;1015,5;1015,2;0,1;278,0;1,4;;0,0;
02/01/2021;0900;19,0;19,0;18,4;82,0;84,0;82,0;15,9;15,9;15,5;1015,8;1015,8;1015,5;0,2;220,0;2,8;33,57;0,0;
02/01/2021;1000;21,3;21,3;19,0;73,0;82,0;73,0;16,2;16,4;15,6;1016,2;1016,2;1015,8;0,3;201,0;2,7;361,12;0,0;
02/01/2021;1100;22,1;22,1;21,2;68,0;73,0;68,0;15,9;16,4;15,5;1016,4;1016,6;1016,2;1,1;305,0;3,5;1029,15;0,0;
02/01/2021;1200;24,6;24,6;22,1;59,0;69,0;58,0;16,1;16,5;14,9;1015,9;1016,4;1015,8;1,3;348,0;3,0;1570,02;0,0;
02/01/2021;1300;26,5;26,9;24,6;56,0;60,0;51,0;16,9;17,1;15,3;1015,6;1015,9;1015,6;1,2;146,0;3,5;2861,80;0,0;
02/01/2021;1400;26,9;27,1;26,0;50,0;55,0;48,0;15,6;16,5;14,6;1015,2;1015,7;1015,1;2,1;17,0;5,5;3458,57;0,0;
02/01/2021;1500;27,4;27,7;26,3;47,0;52,0;47,0;15,2;16,5;14,6;1014,7;1015,2;1014,7;2,3;24,0;6,9;3580,51;0,0;
02/01/2021;1600;28,2;28,5;27,2;45,0;50,0;44,0;15,3;16,6;14,7;1014,2;1014,7;1014,2;2,0;16,0;6,4;3595,52;0,0;
02/01/2021;1700;28,7;28,8;27,6;50,0;51,0;44,0;17,3;17,3;14,7;1013,8;1014,2;1013,8;2,6;2,0;5,8;3550,25;0,0;
02/01/2021;1800;27,2;28,8;27,0;53,0;54,0;46,0;16,7;17,7;16,0;1013,4;1013,9;1013,3;2,4;40,0;6,1;2327,37;0,0;
02/01/2021;1900;26,4;27,5;26,2;57,0;58,0;53,0;17,2;17,6;16,7;1013,2;1013,4;1013,2;1,4;76,0;6,7;851,49;0,0;
