SAO JOAQUIM (A815);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
22/04/2021;0100;11,2;11,5;11,2;96,0;96,0;94,0;10,5;10,7;10,4;865,8;865,8;865,5;2,5;108,0;5,4;;0,0;
22/04/2021;0200;10,7;11,2;10,7;95,0;96,0;94,0;10,0;10,6;10,0;865,9;865,9;865,8;3,0;106,0;6,3;;0,2;
22/04/2021;0300;10,6;10,7;10,5;95,0;96,0;95,0;9,8;10,0;9,7;865,6;865,9;865,5;2,1;111,0;6,3;;0,0;
22/04/2021;0400;9,9;10,6;9,9;92,0;95,0;92,0;8,7;9,8;8,7;865,6;865,8;865,5;2,9;112,0;6,1;;0,0;
22/04/2021;0500;8,7;9,9;8,7;90,0;94,0;90,0;7,2;8,7;7,2;865,2;865,6;865,2;3,4;109,0;6,6;;0,0;
22/04/2021;0600;8,2;8,7;8,2;85,0;90,0;84,0;5,7;7,1;5,7;864,2;865,2;864,2;2,3;112,0;6,5;;0,0;
22/04/2021;0700;8,2;8,7;7,9;83,0;86,0;77,0;5,4;5,7;4,8;864,1;864,2;863,9;2,3;115,0;6,4;;0,0;
22/04/2021;0800;7,4;8,2;7,4;91,0;91,0;83,0;6,1;6,2;5,3;864,3;864,3;864,1;2,3;128,0;4,9;;0,0;
22/04/2021;0900;8,0;8,2;7,4;89,0;92,0;88,0;6,4;6,4;6,0;864,3;864,3;864,1;3,6;114,0;6,2;;0,0;
22/04/2021;1000;7,9;8,0;7,7;94,0;94,0;89,0;7,0;7,1;6,3;864,5;864,5;864,2;3,2;110,0;7,1;18,24;0,0;
22/04/2021;1100;9,8;9,8;8,0;86,0;94,0;86,0;7,5;7,6;7,1;865,0;865,0;864,4;3,6;110,0;6,5;579,33;0,0;
22/04/2021;1200;11,4;11,4;9,8;77,0;86,0;77,0;7,4;7,8;7,3;865,1;865,1;864,9;4,3;101,0;8,2;1428,20;0,0;
22/04/2021;1300;12,4;12,7;11,3;69,0;77,0;68,0;6,9;7,7;6,8;865,4;865,5;865,1;4,2;109,0;7,6;1757,42;0,0;
22/04/2021;1400;14,4;14,9;12,4;66,0;70,0;64,0;8,1;8,8;6,7;865,3;865,6;865,3;2,4;84,0;7,1;2383,85;0,0;
22/04/2021;1500;15,0;15,5;14,1;59,0;66,0;58,0;7,0;8,2;6,7;864,6;865,3;864,6;2,7;88,0;6,3;3021,27;0,0;
22/04/2021;1600;14,8;16,3;14,5;56,0;65,0;50,0;6,1;8,5;5,6;864,1;864,6;864,1;2,3;75,0;5,0;2936,46;0,0;
22/04/2021;1700;16,1;16,7;14,6;56,0;61,0;48,0;7,3;7,8;5,4;863,5;864,1;863,5;1,7;122,0;4,9;2633,08;0,0;
22/04/2021;1800;15,3;16,8;15,0;57,0;61,0;53,0;6,8;8,0;6,4;863,3;863,6;863,3;2,3;90,0;5,2;1635,52;0,0;
22/04/2021;1900;15,4;16,7;15,2;58,0;59,0;53,0;7,2;8,1;6,6;863,3;863,4;863,2;2,7;110,0;5,2;1793,08;0,0;
22/04/2021;2000;14,2;15,4;14,2;60,0;62,0;58,0;6,6;7,8;6,6;863,3;863,4;863,2;2,8;103,0;5,3;912,78;0,0;
22/04/2021;2100;11,8;14,2;11,8;73,0;73,0;60,0;7,1;7,3;6,5;863,3;863,4;863,2;2,2;101,0;5,3;147,74;0,0;
22/04/2021;2200;10,6;11,9;10,5;84,0;84,0;73,0;8,0;8,1;7,1;863,6;863,8;863,3;1,7;84,0;4,2;;0,0;
22/04/2021;2300;9,3;10,6;9,3;89,0;90,0;84,0;7,7;8,2;7,7;864,3;864,3;863,6;1,1;136,0;3,0;;0,0;
