SAO MIGUEL DO OESTE (A857);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2021;0100;22,5;22,9;22,5;80,0;84,0;80,0;19,0;19,8;19,0;939,7;939,7;939,0;2,5;209,0;4,5;;;
01/01/2021;0200;21,2;22,5;21,2;79,0;80,0;75,0;17,5;18,9;17,4;940,1;940,1;939,7;0,4;164,0;4,6;;;
01/01/2021;0300;20,7;21,2;20,7;74,0;80,0;73,0;15,8;17,5;15,7;940,2;940,3;940,1;1,0;157,0;3,3;;;
01/01/2021;0400;19,9;20,7;19,7;75,0;77,0;74,0;15,3;15,8;15,3;939,7;940,2;939,7;2,0;167,0;3,9;;;
01/01/2021;0500;19,1;19,9;19,0;74,0;76,0;74,0;14,3;15,3;14,3;939,0;939,7;939,0;1,9;162,0;3,9;;;
01/01/2021;0600;18,1;19,1;18,1;76,0;76,0;74,0;13,8;14,4;13,8;938,7;939,0;938,7;1,8;164,0;3,3;;;
01/01/2021;0700;17,7;18,2;17,7;77,0;77,0;75,0;13,6;13,8;13,6;939,1;939,1;938,7;1,8;162,0;3,9;;;
01/01/2021;0800;17,3;17,7;17,2;78,0;79,0;77,0;13,4;13,6;13,4;939,6;939,6;939,0;1,9;158,0;3,2;;;
01/01/2021;0900;16,5;17,4;16,5;81,0;81,0;77,0;13,3;13,4;13,2;940,4;940,4;939,6;2,2;187,0;3,3;3,06;;
01/01/2021;1000;18,5;18,5;16,5;75,0;82,0;75,0;14,1;14,1;13,3;940,7;940,7;940,4;1,4;189,0;2,9;260,69;;
01/01/2021;1100;20,2;20,2;18,5;74,0;76,0;71,0;15,4;15,5;14,0;941,3;941,3;940,7;1,4;211,0;3,1;1196,73;;
01/01/2021;1200;22,8;22,8;20,0;67,0;77,0;66,0;16,4;16,7;15,0;941,6;941,6;941,3;0,9;112,0;3,0;2050,93;;
01/01/2021;1300;24,2;24,4;22,5;63,0;71,0;63,0;16,6;17,9;16,1;941,8;941,8;941,6;1,1;156,0;3,0;2875,56;;
01/01/2021;1400;25,3;25,7;22,9;62,0;69,0;58,0;17,5;18,1;16,3;941,6;941,8;941,6;1,7;210,0;3,8;2974,15;;
01/01/2021;1500;25,6;26,5;25,0;53,0;66,0;50,0;15,3;18,6;14,5;941,3;941,6;941,3;1,2;11,0;4,8;3922,26;;
01/01/2021;1600;27,0;27,3;25,6;50,0;57,0;48,0;15,6;17,0;14,8;941,4;941,4;941,2;2,9;222,0;5,4;4113,18;;
01/01/2021;1700;27,2;27,8;26,6;51,0;56,0;45,0;16,1;17,7;14,6;941,0;941,4;941,0;2,9;239,0;5,9;4048,13;;
01/01/2021;1800;28,1;28,1;27,0;46,0;54,0;42,0;15,3;16,7;14,0;940,3;941,0;940,3;1,8;253,0;6,1;3618,51;;
01/01/2021;1900;28,1;28,4;27,6;44,0;48,0;41,0;14,6;16,1;13,7;939,7;940,3;939,7;3,7;216,0;5,9;3010,66;;
01/01/2021;2000;28,1;28,3;27,5;38,0;44,0;36,0;12,3;14,6;11,7;939,5;939,7;939,4;2,2;195,0;5,9;2316,25;;
01/01/2021;2100;27,6;28,1;27,5;42,0;44,0;35,0;13,5;14,4;11,7;939,2;939,5;939,2;2,5;213,0;4,9;1493,62;;
01/01/2021;2200;25,3;27,6;25,3;52,0;52,0;40,0;14,8;14,9;12,7;939,4;939,4;939,2;1,8;149,0;4,8;651,59;;
01/01/2021;2300;24,0;25,4;23,9;56,0;57,0;52,0;14,7;15,0;14,7;939,6;939,6;939,4;2,0;144,0;3,4;50,49;;
