UBERLANDIA (A507);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2021;0100;24,2;24,9;24,2;69,0;69,0;63,0;18,1;18,2;17,5;918,1;918,1;917,2;0,8;208,0;3,0;;0,0;
01/01/2021;0200;24,1;24,2;23,9;69,0;70,0;68,0;18,0;18,2;17,9;917,9;918,1;917,9;1,0;203,0;2,9;;0,0;
01/01/2021;0300;22,9;24,1;22,8;78,0;78,0;69,0;18,8;18,8;18,0;917,2;917,9;917,2;0,7;224,0;2,4;;0,0;
01/01/2021;0400;22,0;22,9;22,0;83,0;83,0;78,0;19,0;19,1;18,7;916,7;917,2;916,7;1,3;184,0;2,8;;0,0;
01/01/2021;0500;21,4;22,1;21,4;85,0;85,0;82,0;18,7;19,0;18,7;916,7;916,8;916,7;1,0;203,0;2,8;;0,0;
01/01/2021;0600;20,9;21,3;20,9;89,0;89,0;85,0;18,9;19,1;18,7;916,3;916,7;916,3;1,5;201,0;3,7;;0,0;
01/01/2021;0700;21,1;21,2;20,8;90,0;90,0;88,0;19,3;19,4;18,9;916,2;916,3;916,0;1,8;204,0;3,9;;0,0;
01/01/2021;0800;21,1;21,1;20,8;89,0;92,0;89,0;19,2;19,6;19,2;916,4;916,4;916,1;1,3;206,0;5,5;;0,0;
01/01/2021;0900;20,9;21,1;20,7;90,0;91,0;88,0;19,3;19,4;18,9;916,9;916,9;916,4;1,6;189,0;4,5;6,24;0,0;
01/01/2021;1000;21,7;21,7;20,9;85,0;91,0;85,0;19,2;19,5;19,1;917,7;917,7;916,9;1,4;156,0;5,0;167,87;0,0;
01/01/2021;1100;24,5;24,6;21,6;71,0;85,0;71,0;18,9;19,5;18,6;918,0;918,0;917,6;1,1;143,0;3,7;1131,22;0,0;
01/01/2021;1200;25,7;25,7;23,9;66,0;73,0;66,0;18,8;19,9;18,5;918,2;918,2;918,0;1,4;94,0;3,4;1274,99;0,0;
01/01/2021;1300;26,9;27,1;25,1;57,0;68,0;57,0;17,8;19,5;17,5;918,5;918,5;918,2;1,4;111,0;3,4;2318,31;0,0;
01/01/2021;1400;28,0;28,4;26,9;50,0;58,0;48,0;16,6;18,3;15,9;918,2;918,5;918,2;0,9;196,0;2,8;1790,91;0,0;
01/01/2021;1500;28,7;29,9;28,0;48,0;56,0;46,0;16,5;18,6;16,0;917,8;918,2;917,8;2,1;218,0;5,3;3058,01;0,0;
01/01/2021;1600;23,8;28,7;21,9;65,0;77,0;48,0;17,0;17,8;14,5;916,9;917,9;916,9;3,3;74,0;7,5;865,84;0,8;
01/01/2021;1700;22,8;25,2;21,9;69,0;74,0;61,0;16,9;18,1;16,6;917,1;917,6;916,7;2,0;36,0;10,9;1721,90;0,0;
01/01/2021;1800;28,2;28,3;22,8;48,0;70,0;48,0;16,1;17,8;15,2;916,0;917,1;916,0;1,9;22,0;7,4;2967,98;0,0;
01/01/2021;1900;25,7;28,2;25,5;55,0;57,0;46,0;16,1;16,8;15,3;915,8;916,0;915,8;1,4;5,0;5,4;1705,57;0,0;
01/01/2021;2000;24,1;25,9;24,0;65,0;66,0;52,0;17,1;17,5;15,1;915,6;915,8;915,6;1,3;21,0;5,7;966,61;0,0;
01/01/2021;2100;23,9;24,2;23,6;68,0;69,0;65,0;17,6;18,0;16,9;916,1;916,1;915,5;0,9;354,0;4,2;440,81;0,0;
01/01/2021;2200;23,3;24,0;23,3;69,0;69,0;66,0;17,3;17,7;16,9;916,8;916,8;916,0;0,5;332,0;2,5;54,60;0,0;
01/01/2021;2300;22,4;23,3;22,4;79,0;82,0;69,0;18,5;19,1;17,4;917,4;917,4;916,8;1,9;99,0;3,7;;0,4;
02/01/2021;0000;22,4;22,7;22,3;70,0;79,0;70,0;16,7;18,5;16,7;917,6;917,8;917,3;2,1;19,0;6,4;;0,0;
02/01/2021;0100;20,8;22,4;20,7;88,0;88,0;69,0;18,7;18,7;16,0;917,8;917,8;917,4;2,0;13,0;6,2;;0,0;
02/01/2021;0200;20,5;20,8;20,5;82,0;88,0;81,0;17,3;18,7;17,3;918,0;918,0;917,7;1,4;360,0;5,5;;0,0;
02/01/2021;0300;20,1;20,6;19,9;86,0;86,0;82,0;17,6;17,6;17,4;917,2;918,0;917,2;1,0;34,0;3,3;;0,0;
02/01/2021;0400;20,2;20,2;20,0;86,0;87,0;85,0;17,8;17,9;17,5;916,7;917,2;916,6;0,7;38,0;3,1;;0,0;
02/01/2021;0500;20,3;20,4;20,2;85,0;87,0;85,0;17,7;18,0;17,7;916,3;916,8;916,3;0,9;64,0;2,2;;0,0;
02/01/2021;0600;20,2;20,3;20,2;87,0;87,0;85,0;18,0;18,0;17,7;916,0;916,3;916,0;0,0;48,0;2,2;;0,0;
02/01/2021;0700;20,2;20,4;19,9;87,0;89,0;86,0;18,0;18,1;17,8;915,2;916,0;915,2;1,0;62,0;2,5;;0,0;
02/01/2021;0800;19,6;20,2;19,5;90,0;90,0;85,0;17,8;18,0;17,4;915,9;916,0;915,2;1,5;120,0;3,5;;0,0;
02/01/2021;0900;20,1;20,1;19,6;86,0;90,0;86,0;17,7;17,9;17,7;915,8;916,0;915,7;0,6;41,0;3,3;5,37;0,0;
02/01/2021;1000;21,9;22,1;19,9;76,0;87,0;75,0;17,4;17,8;17,2;915,9;916,0;915,8;0,4;9,0;3,1;318,93;0,0;
02/01/2021;1100;22,2;22,3;21,3;77,0;79,0;76,0;17,9;18,1;17,3;916,1;916,2;915,9;1,2;93,0;2,9;565,09;0,0;
02/01/2021;1200;23,9;23,9;22,2;71,0;77,0;71,0;18,5;18,8;17,9;916,4;916,4;916,1;0,8;144,0;3,0;1023,51;0,0;
02/01/2021;1300;25,9;26,1;23,7;58,0;72,0;58,0;16,9;18,4;16,8;916,2;916,5;916,2;1,4;121,0;2,7;2132,14;0,0;
02/01/2021;1400;27,1;27,8;25,7;51,0;61,0;50,0;16,0;18,3;15,9;916,1;916,3;916,1;1,2;278,0;3,2;2772,59;0,0;
02/01/2021;1500;24,4;28,6;24,4;71,0;71,0;46,0;18,8;19,0;15,5;915,7;916,1;915,7;1,6;61,0;4,9;1701,53;1,2;
02/01/2021;1600;22,9;25,0;21,7;65,0;80,0;65,0;16,0;20,5;16,0;915,4;915,9;915,4;2,6;8,0;9,3;916,95;0,4;
02/01/2021;1700;25,0;25,0;22,9;64,0;72,0;57,0;17,8;18,9;15,1;914,4;915,4;914,4;1,5;321,0;8,9;1455,59;0,0;
02/01/2021;1800;24,8;26,4;24,8;57,0;68,0;54,0;15,6;19,1;15,2;913,7;914,5;913,7;2,6;3,0;7,0;1312,15;0,0;
02/01/2021;1900;24,3;24,8;24,0;66,0;67,0;57,0;17,5;17,7;15,6;913,3;913,7;913,3;0,4;30,0;6,7;711,31;0,0;
02/01/2021;2000;23,7;24,4;23,7;70,0;74,0;66,0;18,0;18,9;17,6;912,9;913,2;912,6;1,1;228,0;2,6;390,99;0,0;
02/01/2021;2100;22,0;23,7;21,9;86,0;86,0;70,0;19,5;19,5;18,0;912,8;913,0;912,6;1,1;173,0;4,5;53,75;0,2;
02/01/2021;2200;21,2;22,0;21,2;89,0;89,0;85,0;19,3;19,5;19,2;914,0;914,2;912,8;1,3;175,0;3,0;1,12;1,6;
02/01/2021;2300;20,5;21,2;20,5;90,0;90,0;88,0;18,8;19,3;18,6;914,5;914,5;913,9;1,0;150,0;3,6;;1,8;
03/01/2021;0000;20,5;20,6;20,3;90,0;91,0;89,0;18,8;18,9;18,6;913,2;914,5;912,7;1,6;99,0;3,6;;0,2;
03/01/2021;0100;20,9;21,1;20,5;88,0;91,0;87,0;18,9;19,1;18,7;914,1;914,2;913,2;1,5;88,0;3,4;;0,2;
03/01/2021;0200;20,3;20,9;20,2;90,0;90,0;87,0;18,5;18,9;18,4;914,0;914,3;913,8;0,6;267,0;3,9;;0,0;
03/01/2021;0300;19,7;20,3;19,7;92,0;92,0;90,0;18,4;18,6;18,4;913,4;914,0;913,4;0,0;17,0;2,1;;0,0;
03/01/2021;0400;19,9;19,9;19,6;93,0;93,0;92,0;18,7;18,7;18,4;912,5;913,5;912,5;0,5;90,0;1,3;;0,0;
03/01/2021;0500;19,6;20,0;19,6;90,0;93,0;88,0;17,9;18,7;17,8;912,7;912,7;912,5;0,8;107,0;3,9;;0,0;
