Data,Hora,RECORD,Tterra_Avg,Tagua_Avg,batt_volt_Min,PTemp
2020-02-14,10:18:00,1,29.57,25.18,12.60,24.13
2020-02-14,10:19:00,2,26.53,27.16,12.60,24.13
2020-02-14,10:20:00,3,23.95,27.54,12.60,24.16
2020-02-14,10:21:00,4,23.92,24.03,12.60,24.16
2020-02-14,10:22:00,5,23.57,23.80,12.60,24.13
2020-02-14,10:23:00,6,23.25,24.06,12.60,24.13
2020-02-14,10:24:00,7,22.74,23.23,12.60,24.13
2020-02-14,10:25:00,8,22.25,22.61,12.60,24.10
2020-02-14,10:26:00,9,22.23,22.46,12.60,24.10
2020-02-14,10:27:00,10,22.12,22.42,12.60,24.07
2020-02-14,10:28:00,11,22.13,22.44,12.60,24.04
2020-02-14,10:31:00,12,25.62,25.69,12.60,24.25
2020-02-14,10:32:00,13,25.49,25.52,12.60,24.36
2020-02-14,10:33:00,14,25.48,25.56,12.60,24.45
2020-02-14,10:34:00,15,25.44,25.60,12.60,24.54
2020-02-14,10:35:00,16,25.42,25.57,12.60,24.63
2020-02-14,10:36:00,17,25.43,25.53,12.60,24.69
2020-02-14,10:37:00,18,25.43,25.53,12.60,24.72
2020-02-14,10:38:00,19,25.43,25.50,12.60,24.75
2020-02-14,10:39:00,20,25.44,25.52,12.60,24.81
2020-02-14,10:40:00,21,25.59,25.45,12.60,24.84
2020-02-14,10:41:00,22,25.46,25.50,12.60,24.87
2020-02-14,10:42:00,23,25.51,25.48,12.60,24.92
2020-02-14,10:43:00,24,25.48,25.50,12.60,24.95
2020-02-14,10:44:00,25,25.53,25.52,12.60,24.98
2020-02-14,10:45:00,26,25.59,25.50,12.60,25.01
2020-02-14,10:46:00,27,25.57,25.56,12.60,25.07
2020-02-14,10:47:00,28,25.58,25.60,12.60,25.10
2020-02-14,10:48:00,29,25.67,25.59,12.60,25.13
2020-02-14,10:49:00,30,25.69,25.58,12.60,25.16
2020-02-14,10:50:00,31,25.77,25.68,12.60,25.22
2020-02-14,10:51:00,32,28.20,29.50,12.60,25.25
2020-02-14,10:52:00,33,26.05,26.50,12.60,25.31
2020-02-14,10:53:00,34,25.89,26.16,12.60,25.34
2020-02-14,10:54:00,35,25.87,26.08,12.60,25.40
2020-02-14,10:55:00,36,25.93,26.27,12.60,25.43
2020-02-14,10:56:00,37,25.55,26.16,12.60,25.46
2020-02-14,10:57:00,38,25.56,25.69,12.60,25.49
2020-02-14,10:58:00,39,23.80,24.82,12.60,25.52
2020-02-14,09:59:00,40,23.53,24.77,12.60,25.58
