PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1020.0,5,19.4,17.2,87,12.25,270,6,290.9,325.6,293.0
1000.0,178,18.6,14.2,76,10.28,215,7,291.8,321.1,293.6
993.0,238,18.2,14.1,77,10.25,195,10,291.9,321.2,293.7
949.0,625,15.7,13.1,85,10.09,150,13,293.1,322.1,294.9
925.0,844,14.2,12.6,90,10.00,145,13,293.8,322.6,295.6
917.0,917,13.4,12.4,94,9.96,146,13,293.7,322.4,295.5
856.0,1493,9.4,6.0,80,6.92,150,14,295.4,315.7,296.6
850.0,1552,9.0,5.4,78,6.66,145,13,295.6,315.2,296.8
808.0,1969,6.1,2.5,77,5.69,125,14,296.8,313.8,297.9
789.0,2165,4.8,1.1,77,5.28,126,15,297.4,313.3,298.4
760.0,2470,4.2,-11.8,30,2.05,128,17,300.0,306.5,300.4
749.0,2588,3.4,-7.6,44,2.90,129,18,300.4,309.4,300.9
743.0,2653,3.2,3.2,100,6.52,130,19,300.8,320.5,302.0
737.0,2719,2.9,2.6,98,6.32,130,19,301.2,320.3,302.4
731.0,2785,2.6,2.1,97,6.13,140,18,301.6,320.1,302.7
715.0,2965,3.2,-11.8,32,2.18,165,17,304.1,311.2,304.6
700.0,3136,2.2,-29.8,7,0.46,190,15,304.9,306.5,305.0
699.0,3148,2.2,-32.8,5,0.35,200,15,305.0,306.3,305.1
683.0,3334,1.8,-38.4,3,0.20,210,17,306.6,307.4,306.7
657.0,3647,1.2,-47.8,1,0.08,200,16,309.3,309.6,309.4
630.0,3984,0.7,-48.4,1,0.08,190,14,312.4,312.7,312.4
619.0,4125,0.4,-48.6,1,0.08,200,12,313.8,314.1,313.8
609.0,4256,0.2,-48.8,1,0.07,181,13,315.0,315.3,315.0
598.0,4398,-0.9,-49.0,1,0.07,160,15,315.3,315.6,315.3
566.0,4829,-4.4,-49.6,1,0.07,185,11,316.2,316.6,316.3
540.0,5197,-7.3,-50.2,2,0.07,180,12,317.0,317.3,317.0
517.0,5538,-10.0,-50.7,2,0.07,195,10,317.7,318.0,317.7
500.0,5800,-12.1,-51.1,2,0.07,190,15,318.2,318.5,318.2
494.0,5892,-12.9,-51.9,2,0.06,170,16,318.3,318.6,318.3
490.0,5954,-13.5,-52.5,2,0.06,173,15,318.4,318.6,318.4
481.0,6092,-14.6,-51.1,3,0.07,180,13,318.7,319.0,318.7
477.0,6155,-15.1,-50.5,3,0.08,165,13,318.9,319.2,318.9
440.0,6758,-19.7,-44.3,9,0.17,205,15,320.5,321.1,320.5
422.0,7069,-22.1,-41.1,16,0.25,208,13,321.2,322.2,321.3
407.0,7333,-24.3,-37.9,27,0.36,210,12,321.8,323.2,321.8
400.0,7460,-25.3,-36.3,35,0.43,205,12,322.0,323.7,322.1
381.0,7812,-28.7,-32.7,68,0.65,197,12,322.1,324.4,322.2
377.0,7887,-29.3,-33.7,65,0.59,195,12,322.3,324.5,322.4
366.0,8097,-30.9,-36.5,58,0.46,220,13,322.9,324.6,322.9
345.0,8516,-34.1,-42.1,44,0.27,234,9,324.0,325.1,324.1
325.0,8932,-37.7,-41.9,65,0.30,249,5,324.6,325.8,324.7
316.0,9126,-39.5,-44.5,59,0.23,255,3,324.7,325.6,324.8
310.0,9257,-40.3,-50.3,33,0.12,260,2,325.4,325.9,325.4
300.0,9480,-42.3,-51.3,37,0.11,250,7,325.6,326.1,325.6
291.0,9684,-44.1,-57.1,22,0.06,247,12,325.9,326.2,325.9
250.0,10690,-47.9,-68.9,7,0.01,230,37,334.7,334.8,334.7
242.0,10904,-48.5,-70.5,6,0.01,230,39,336.9,337.0,336.9
237.0,11040,-49.3,-70.9,6,0.01,230,41,337.8,337.9,337.8
216.0,11643,-52.7,-72.7,7,0.01,230,38,341.6,341.6,341.6
205.0,11981,-52.2,-75.5,4,0.01,230,25,347.6,347.6,347.6
201.0,12108,-52.0,-76.6,4,0.01,245,21,349.8,349.9,349.8
200.0,12140,-51.9,-76.9,3,0.01,245,21,350.4,350.4,350.4
197.0,12238,-51.9,-77.4,3,0.01,265,24,352.0,352.1,352.0
178.0,12897,-51.5,-80.5,2,0.00,265,24,362.9,363.0,362.9
175.0,13006,-51.9,-80.8,2,0.00,265,24,364.1,364.1,364.1
158.0,13665,-54.0,-82.3,2,0.00,290,24,371.3,371.3,371.3
153.0,13872,-54.7,-82.8,2,0.00,295,29,373.5,373.6,373.5
150.0,14000,-55.1,-83.1,2,0.00,290,34,374.9,374.9,374.9
143.0,14297,-56.5,-83.7,2,0.00,270,40,377.6,377.7,377.6
137.0,14563,-57.8,-84.2,2,0.00,260,35,380.1,380.1,380.1
121.0,15334,-61.4,-85.7,3,0.00,275,22,387.1,387.1,387.1
117.0,15543,-62.4,-86.1,3,0.00,305,17,389.1,389.1,389.1
116.0,15597,-62.6,-86.2,3,0.00,310,19,389.5,389.6,389.5
111.0,15870,-64.0,-86.7,3,0.00,300,27,392.0,392.1,392.0
